Description,Carbohydrate (g),Protein (g),Total Fat (g),Kilocalories,Fiber (g),Sugar Total (g),Calcium (mg),Iron (mg),Vitamin C (mg),Vitamin E (mg),Sodium (mg),Cholesterol (mg)
"LIMA BNS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",23.64,6.81,0.32,123,5.300000191,1.629999995,32,2.45,10.1,0.14,253,0
"LIMA BNS,IMMAT SEEDS,CND,NO SALT,SOL&LIQUIDS",13.33,4.07,0.29,71,3.599999905,0.930000007,28,1.61,8.7,0.29,4,0
"LIMA BNS,IMMAT SEEDS,FRZ,BABY,CKD,BLD,DRND,W/SALT",19.45,6.65,0.3,105,6.0,1.370000005,28,1.96,5.8,0.64,265,0
"LIMA BNS,IMMAT SEEDS,FRZ,FORDHOOK,CKD,BLD,DRND,W/SALT",19.32,6.07,0.34,103,5.800000191,1.340000033,30,1.82,12.8,0.29,289,0
"MUNG BNS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",3.6,2.03,0.09,19,0.800000012,2.839999914,12,0.65,11.4,0.07,246,0
"BEANS,NAVY,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",15.01,7.07,0.81,78,0.0,0.0,16,2.11,17.3,0.0,250,0
"BEANS,PINTO,IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",30.88,9.31,0.48,162,8.600000381,0.0,52,2.71,0.7,0.0,319,0
"BEANS,PINTO,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",3.5,1.86,0.32,20,0.0,0.0,15,0.66,6.1,0.0,287,0
"BEANS,SNAP,YELLOW,RAW",7.14,1.82,0.12,31,3.400000095,0.0,37,1.04,16.3,0.0,6,0
"BEANS,SNAP,GRN,CKD,BLD,DRND,W/SALT",7.88,1.89,0.28,35,3.200000048,1.549999952,44,0.65,9.7,0.45,239,0
"BEANS,SNAP,YEL,CKD,BLD,DRND,WO/SALT",7.88,1.89,0.28,35,3.299999952,1.549999952,46,1.28,9.7,0.45,3,0
"BEANS,SNAP,YEL,CKD,BLD,DRND,W/SALT",7.88,1.89,0.28,35,3.299999952,1.549999952,46,1.28,9.7,0.45,239,0
"BEANS,SNAP,GRN,CND,NO SALT,SOL&LIQUIDS",3.5,0.8,0.1,15,1.5,0.0,24,0.9,3.4,0.14,14,0
"BEANS,SNAP,YEL,CND,REG PK,SOL&LIQUIDS",3.5,0.8,0.1,15,1.5,0.0,24,0.9,3.4,0.0,259,0
"BEANS,SNAP,YEL,CND,NO SALT,SOL&LIQUIDS",3.5,0.8,0.1,15,1.5,0.0,24,0.9,4.0,0.0,14,0
"BEANS,SNAP,GRN,CND,NO SALT,DRND SOL",4.5,1.15,0.1,20,1.899999976,0.769999981,26,0.9,4.8,0.03,2,0
"BEANS,SNAP,YEL,FRZ,ALL STYLES,UNPREP",7.57,1.8,0.21,33,2.799999952,0.0,42,0.86,12.9,0.0,3,0
"BEANS,SNAP,GRN,FRZ,CKD,BLD,DRND,W/SALT",5.86,1.49,0.17,26,3.0,1.230000019,42,0.66,4.1,0.04,245,0
"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,WO/SALT",6.45,1.49,0.17,28,3.0,1.230000019,49,0.88,4.1,0.04,9,0
"BEANS,SNAP,YEL,FRZ,CKD,BLD,DRND,W/SALT",5.86,1.49,0.17,26,3.0,1.230000019,49,0.88,4.1,0.04,245,0
"BEETS,CKD,BOILED. DRND,W/SALT",9.96,1.68,0.18,44,2.0,7.960000038,16,0.79,3.6,0.04,285,0
"BEETS,CND,NO SALT,SOL&LIQUIDS",6.57,0.8,0.07,28,1.200000048,5.380000114,13,0.63,2.8,0.03,21,0
"BEET GRNS,CKD,BLD,DRND,W/SALT",5.46,2.57,0.2,27,2.900000095,0.600000024,114,1.9,24.9,1.81,477,0
"BORAGE,CKD,BLD,DRND,W/SALT",3.55,2.09,0.81,25,0.0,0.0,102,3.64,32.5,0.0,324,0
"BROADBEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",10.1,4.8,0.5,62,0.0,0.0,18,1.5,19.8,0.0,277,0
"BROCCOLI,LEAVES,RAW",5.24,2.98,0.35,28,0.0,0.0,48,0.88,93.2,0.0,27,0
"BROCCOLI,FLOWER CLUSTERS,RAW",5.24,2.98,0.35,28,0.0,0.0,48,0.88,93.2,0.0,27,0
"BROCCOLI,STALKS,RAW",5.24,2.98,0.35,28,0.0,0.0,48,0.88,93.2,0.0,27,0
"BROCCOLI,CKD,BLD,DRND,W/SALT",7.18,2.38,0.41,35,3.299999952,1.389999986,40,0.67,64.9,1.45,262,0
"BROCCOLI,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",5.35,3.1,0.12,28,3.0,1.470000029,33,0.61,40.1,1.32,260,0
"BROCCOLI,FRZ,SPEARS,CKD,BLD,DRND,W/SALT",5.35,3.1,0.11,28,3.0,1.440000057,51,0.61,40.1,1.32,260,0
"BRUSSELS SPROUTS,CKD,BLD,DRND,W/SALT",7.1,2.55,0.5,36,2.599999905,1.74000001,36,1.2,62.0,0.43,257,0
"BRUSSELS SPROUTS,FRZ,CKD,BLD,DRND,W/SALT",8.32,3.64,0.39,42,4.099999905,2.079999924,26,0.48,45.7,0.51,15,0
"BURDOCK ROOT,CKD,BLD,DRND,W/SALT",21.15,2.09,0.14,88,1.799999952,3.549999952,49,0.77,2.6,0.46,240,0
"BUTTERBUR,CKD,BLD,DRND,W/SALT",2.16,0.23,0.02,8,0.0,0.0,59,0.1,18.9,0.0,240,0
"CABBAGE,COMMON,FRESHLY HARVEST,RAW",5.37,1.21,0.18,24,2.299999952,0.0,47,0.56,51.0,0.0,18,0
"CABBAGE,COMMON (DANISH,DOMESTIC,&POINTED TYPES),STORED,RAW",5.37,1.21,0.18,24,2.299999952,0.0,47,0.56,42.0,0.0,18,0
"CABBAGE,COMMON,CKD,BLD,DRND,W/SALT",5.51,1.27,0.06,23,1.899999976,2.789999962,48,0.17,37.5,0.14,255,0
"CABBAGE,RED,CKD,BLD,DRND,W/SALT",6.94,1.51,0.09,29,2.599999905,3.319999933,42,0.66,10.8,0.12,244,0
"CABBAGE,SAVOY,CKD,BLD,DRND,W/SALT",5.41,1.8,0.09,24,2.799999952,0.0,30,0.38,17.0,0.0,260,0
"CABBAGE,CHINESE (PAK-CHOI),CKD,BLD,DRND,W/SALT",1.78,1.56,0.16,12,1.0,0.829999983,93,1.04,26.0,0.09,270,0
"CABBAGE,CHINESE (PE-TSAI),CKD,BLD,DRND,W/SALT",2.41,1.5,0.17,14,1.700000048,0.0,32,0.3,15.8,0.0,245,0
"CARDOON,CKD,BLD,DRND,W/SALT",4.74,0.76,0.11,20,1.700000048,0.0,72,0.73,1.7,0.0,412,0
"CARROTS,CKD,BLD,DRND,W/SALT",8.22,0.76,0.18,35,3.0,3.450000048,30,0.34,3.6,1.03,302,0
"CARROTS,CND,NO SALT,SOL&LIQUIDS",5.36,0.59,0.14,23,1.799999952,2.460000038,31,0.52,2.0,0.73,34,0
"CARROTS,CND,NO SALT ,DRND SOL",5.54,0.64,0.19,25,1.5,2.480000019,25,0.64,2.7,0.74,42,0
"CARROTS,FRZ,CKD,BLD,DRND,W/SALT",7.73,0.58,0.68,37,3.299999952,4.079999924,35,0.53,2.3,1.01,295,0
"CAULIFLOWER,CKD,BLD,DRND,W/SALT",4.11,1.84,0.45,23,2.299999952,1.860000014,16,0.32,44.3,0.07,242,0
"CAULIFLOWER,FRZ,CKD,BLD,DRND,W/SALT",3.16,1.61,0.22,17,2.700000048,0.460000008,17,0.41,31.3,0.06,254,0
"CELERIAC,CKD,BLD,DRND,W/SALT",5.9,0.96,0.19,27,0.0,0.0,26,0.43,3.6,0.0,297,0
"CELERY,CKD,BLD,DRND,W/SALT",4.0,0.83,0.16,18,1.600000024,2.369999886,42,0.42,6.1,0.35,327,0
"CHARD,SWISS,CKD,BLD,DRND,W/SALT",4.13,1.88,0.08,20,2.099999905,1.100000024,58,2.26,18.0,1.89,415,0
"CHAYOTE,FRUIT,CKD,BLD,DRND,W/SALT",4.5,0.62,0.48,22,2.799999952,0.0,13,0.22,8.0,0.0,237,0
"CHRYSANTHEMUM,GARLAND,CKD,BLD,DRND,W/SALT",4.31,1.64,0.09,20,2.299999952,2.00999999,69,3.74,23.9,2.5,289,0
"COLLARDS,CKD,BLD,DRND,W/SALT",4.91,2.11,0.36,26,2.799999952,0.400000006,140,1.16,18.2,0.88,252,0
"COLLARDS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",7.1,2.97,0.41,36,2.799999952,0.569999993,210,1.12,26.4,1.25,286,0
"CORN,SWT,YEL,CKD,BLD,DRND,W/SALT",25.11,3.32,1.28,108,2.799999952,3.170000076,2,0.61,6.2,0.09,253,0
"CORN,SWT,YEL,CND,NO SALT,SOL&LIQUIDS",15.41,1.95,0.5,64,1.700000048,2.829999924,4,0.41,5.5,0.03,12,0
"CORN,SWT,YEL,CND,CRM STYLE,NO SALT",18.13,1.74,0.42,72,1.200000048,3.230000019,3,0.38,4.6,0.07,3,0
"CORN,SWT,YEL,CND,VACUUM PK,NO SALT",19.44,2.41,0.5,79,2.0,3.559999943,5,0.42,8.1,0.04,3,0
"CORN,SWT,YEL,FRZ,KRNLS,CUT OFF COB,BLD,DRND,W/SALT",18.71,2.55,0.67,79,2.400000095,3.069999933,3,0.47,3.5,0.07,245,0
"CORN,SWT,YEL,FRZ,KRNLS ON COB,CKD,BLD,DRND,W/SALT",22.33,3.11,0.74,93,2.799999952,3.589999914,3,0.61,4.8,0.08,240,0
"COWPEAS (BLACKEYES),IMMAT SEEDS,CKD,BLD,DRND,W/SALT",19.73,3.17,0.38,94,5.0,3.230000019,128,1.12,2.2,0.22,240,0
"COWPEAS (BLACKEYES),IMMAT SEEDS,FRZ,CKD,BLD,DRND,W/SALT",23.5,8.49,0.66,131,6.400000095,4.460000038,23,2.12,2.6,0.3,241,0
"COWPEAS,YOUNG PODS W/SEEDS,CKD,BLD,DRND,W/SALT",7.0,2.6,0.3,34,0.0,0.0,55,0.7,17.0,0.0,239,0
"COWPEAS,LEAFY TIPS,CKD,BLD,DRND,W/SALT",2.8,4.67,0.1,22,0.0,0.0,69,1.09,18.4,0.0,242,0
"CRESS,GARDEN,CKD,BLD,DRND,W/SALT",3.8,1.9,0.6,23,0.699999988,3.109999895,61,0.8,23.0,0.5,244,0
"DANDELION GRNS,CKD,BLD,DRND,W/SALT",6.4,2.0,0.6,33,2.900000095,1.620000005,140,1.8,18.0,0.6,280,0
"EGGPLANT,CKD,BLD,DRND,W/SALT",8.14,0.83,0.23,33,2.5,3.200000048,6,0.25,1.3,0.41,239,0
"GOURD,WHITE-FLOWERED (CALABASH),CKD,BLD,DRND,W/SALT",3.1,0.6,0.02,13,0.0,0.0,24,0.25,8.5,0.0,238,0
"GOURD,DISHCLOTH (TOWELGOURD),CKD,BLD,DRND,W/SALT",13.75,0.66,0.34,54,0.0,0.0,9,0.36,5.7,0.0,257,0
"HORSERADISH-TREE,LEAFY TIPS,CKD,BLD,DRND,W/SALT",11.15,5.27,0.93,60,2.0,1.0,151,2.32,31.0,0.1,245,0
"HORSERADISH-TREE,PODS,CKD,BLD,DRND,W/SALT",8.18,2.09,0.19,36,4.199999809,0.0,20,0.45,97.0,0.0,279,0
"HYACINTH-BEANS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",9.2,2.95,0.27,50,0.0,0.0,41,0.76,5.1,0.0,238,0
"JUTE,POTHERB,CKD,BLD,DRND,W/SALT",7.29,3.68,0.2,37,2.0,1.0,211,3.14,33.0,0.07,247,0
"KALE,CKD,BLD,DRND,W/SALT",5.63,1.9,0.4,28,2.0,1.25,72,0.9,41.0,0.85,259,0
"KALE,FRZ,CKD,BLD,DRND,W/SALT",5.23,2.84,0.49,30,2.0,1.340000033,138,0.94,25.2,0.92,251,0
"KALE,SCOTCH,CKD,BLD,DRND,W/SALT",5.62,1.9,0.41,28,0.0,0.0,132,1.93,52.8,0.0,281,0
"KOHLRABI,CKD,BLD,DRND,W/SALT",6.69,1.8,0.11,29,1.100000024,2.799999952,25,0.4,54.0,0.52,257,0
"LAMBS QUARTERS,CKD,BLD,DRND,W/SALT",5.0,3.2,0.7,32,2.099999905,0.620000005,258,0.7,37.0,0.0,265,0
"LEEKS,(BULB&LOWER LEAF-PORTION),CKD,BLD,DRND,W/SALT",7.62,0.81,0.2,31,1.0,2.109999895,30,1.1,4.2,0.5,246,0
"LOTUS ROOT,CKD,BLD,DRND,W/SALT",16.02,1.58,0.07,66,3.099999905,0.0,26,0.9,27.4,0.0,281,0
"MUSHROOMS,CKD,BLD,DRND,W/SALT",5.29,2.17,0.47,28,2.200000048,1.950000048,6,1.74,4.0,0.01,238,0
"MUSHROOMS,SHIITAKE,CKD,W/SALT",13.8,1.56,0.22,54,2.099999905,3.609999895,3,0.44,0.3,0.03,240,0
"MUSTARD GRNS,CKD,BLD,DRND,W/SALT",2.1,2.26,0.24,15,2.0,0.100000001,74,0.7,25.3,1.21,252,0
"MUSTARD GRNS,FRZ,CKD,BLD,DRND,W/SALT",3.11,2.27,0.25,19,2.799999952,0.319999993,101,1.12,13.8,1.35,261,0
"MUSTARD SPINACH,(TENDERGREEN),CKD,BLD,DRND,W/SALT",2.8,1.7,0.2,16,2.0,0.0,158,0.8,65.0,0.0,250,0
"NEW ZEALAND SPINACH,CKD,BLD,DRND,W/SALT",2.13,1.3,0.17,12,0.0,0.0,48,0.66,16.0,0.0,343,0
"OKRA,CKD,BLD,DRND,W/SALT",4.51,1.87,0.21,22,2.5,2.400000095,77,0.28,16.3,0.27,241,0
"OKRA,FRZ,CKD,BLD,DRND,W/SALT",5.75,2.08,0.3,28,2.799999952,2.869999886,96,0.67,12.2,0.32,239,0
"ONIONS,CKD,BLD,DRND,W/SALT",9.56,1.36,0.19,42,1.399999976,4.730000019,22,0.24,5.2,0.02,239,0
"ONIONS,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",6.0,0.77,0.1,26,1.700000048,2.900000095,16,0.3,2.6,0.01,248,0
"ONIONS,FRZ,WHL,CKD,BLD,DRND,W/SALT",6.11,0.71,0.05,26,1.399999976,2.900000095,27,0.34,5.1,0.01,244,0
"PARSNIPS,CKD,BLD,DRND,W/SALT",17.01,1.32,0.3,71,4.0,4.800000191,37,0.58,13.0,1.0,246,0
"PEAS,EDIBLE-PODDED,CKD,BLD,DRND,W/SALT",6.46,3.27,0.23,40,2.799999952,3.99000001,42,1.97,47.9,0.39,240,0
"PEAS,EDIBLE-PODDED,FRZ,CKD,BLD,DRND,W/SALT",8.43,3.5,0.38,50,3.099999905,4.820000172,59,2.4,22.0,0.47,241,0
"PEAS,GRN,CKD,BLD,DRND,W/SALT",15.63,5.36,0.22,84,5.5,5.929999828,27,1.54,14.2,0.14,239,0
"PEAS,GRN,CND,NO SALT,SOL&LIQUIDS",9.75,3.19,0.3,53,3.299999952,3.200000048,18,1.02,9.8,0.02,9,0
"PEAS,GRN,CND,NO SALT,DRND SOL",12.58,4.42,0.35,69,4.099999905,4.159999847,20,0.95,9.6,0.03,2,0
"PEAS,GRN,FRZ,CKD,BLD,DRND,W/SALT",14.26,5.15,0.27,78,5.5,4.650000095,24,1.52,9.9,0.03,323,0
"PEAS,MATURE SEEDS,SPROUTED,CKD,BLD,DRND,W/SALT",17.08,7.05,0.51,98,0.0,0.0,26,1.67,6.6,0.0,239,0
"PEAS&CARROTS,CND,NO SALT,SOL&LIQUIDS",8.48,2.17,0.27,38,3.299999952,2.829999924,23,0.75,6.6,0.38,4,0
"PEAS&CARROTS,FRZ,CKD,BLD,DRND,W/SALT",10.12,3.09,0.42,48,3.099999905,4.360000134,23,0.94,8.1,0.52,304,0
"PEAS&ONIONS,FRZ,CKD,BLD,DRND,W/SALT",8.63,2.54,0.2,45,2.200000048,3.769999981,14,0.94,6.9,0.02,273,0
"PEPPERS,HOT CHILI,RED,RAW",8.81,1.87,0.44,40,1.5,5.300000191,14,1.03,143.7,0.69,9,0
"PEPPERS,HOT CHILI,RED,CND,EXCLUDING SEEDS,SOL&LIQUIDS",5.1,0.9,0.1,21,1.299999952,3.319999933,7,0.5,68.0,0.69,1173,0
"PEPPERS,SWT,RED,RAW",6.03,0.99,0.3,31,2.099999905,4.199999809,7,0.43,127.7,1.58,4,0
"PEPPERS,SWT,GRN,CKD,BLD,DRND,W/SALT",6.11,0.92,0.2,26,1.200000048,3.190000057,9,0.46,74.4,0.5,238,0
"PEPPERS,SWT,RED,CKD,BLD,DRND,WO/SALT",6.7,0.92,0.2,28,1.200000048,4.389999866,9,0.46,171.0,1.65,2,0
"PEPPERS,SWT,RED,CKD,BLD,DRND,W/SALT",6.11,0.92,0.2,26,1.200000048,4.389999866,9,0.46,171.0,1.65,238,0
"PEPPERS,SWT,GRN,FRZ,CHOPD,CKD,BLD,DRND,W/SALT",3.31,0.95,0.18,16,0.0,0.0,8,0.52,41.2,0.0,240,0
"PIGEONPEAS,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",19.49,5.96,1.36,111,6.199999809,2.480000019,41,1.57,28.1,0.32,240,0
"POKEBERRY SHOOTS,(POKE),CKD,BLD,DRND,W/SALT",3.1,2.3,0.4,20,1.5,1.600000024,53,1.2,82.0,0.85,254,0
"POTATOES,BKD,FLESH & SKN,W/ SALT",21.15,2.5,0.13,93,2.200000048,1.179999948,15,1.08,9.6,0.04,244,0
"POTATOES,BKD,FLESH,W/SALT",21.55,1.96,0.1,93,1.5,1.700000048,5,0.35,12.8,0.04,241,0
"POTATOES,BKD,SKN,W/ SALT",46.06,4.29,0.1,198,7.900000095,1.399999976,34,7.04,13.5,0.04,257,0
"POTATOES,BLD,CKD IN SKN,FLESH,W/SALT",20.13,1.87,0.1,87,2.0,0.870000005,5,0.31,13.0,0.05,240,0
"POTATOES,BLD,CKD IN SKN,SKN,W/SALT",17.2,2.86,0.1,78,3.299999952,0.0,45,6.07,5.2,0.0,250,0
"POTATOES,BLD,CKD WO/ SKN,FLESH,W/ SALT",20.01,1.71,0.1,86,2.0,0.850000024,8,0.31,7.4,0.01,241,0
"POTATOES,MICROWAVED,CKD,IN SKN,FLESH&SKN,W/SALT",24.24,2.44,0.1,105,2.299999952,0.0,11,1.24,15.1,0.0,244,0
"POTATOES,MICROWAVED,CKD IN SKN,FLESH,W/SALT",23.28,2.1,0.1,100,1.600000024,0.0,5,0.41,15.1,0.0,243,0
"POTATOES,MICROWAVED,CKD,IN SKN,SKN W/SALT",29.63,4.39,0.1,132,5.5,0.0,46,5.94,15.3,0.0,252,0
"POTATOES,FRZ,WHL,CKD,BLD,DRND,W/SALT",13.93,1.98,0.13,63,1.399999976,0.0,7,0.84,9.4,0.0,256,0
"POTATOES,FRZ,FRCH FR,PAR FR,CTTGE-CUT,PREP,HTD OVEN,W/SALT",34.03,3.44,8.2,218,3.200000048,0.0,10,1.49,9.5,0.0,281,0
"POTATOES,FR FR,ALL TYPES,SALT NOT ADDED IN PROC,FRZ,OVN-HTD",28.71,2.66,5.22,172,2.599999905,0.280000001,12,0.74,13.3,0.11,32,0
"POTATOES,FR FR,ALL TYPES,SALT NOT ADDED IN PROC,FRZ,AS PURCH",24.81,2.24,4.66,150,1.899999976,0.200000003,9,0.62,17.3,0.1,23,0
"POTATOES,AU GRATIN,HOME-PREPARED FROM RECIPE USING MARGARINE",11.27,5.06,7.59,132,1.799999952,0.0,119,0.64,9.9,0.0,433,15
"POTATOES,SCALLPD,HOME-PREPARED W/MARGARINE",10.78,2.87,3.68,88,1.899999976,0.0,57,0.57,10.6,0.0,335,6
"PUMPKIN,CKD,BLD,DRND,W/SALT",4.9,0.72,0.07,20,1.100000024,1.019999981,15,0.57,4.7,0.8,237,0
"PUMPKIN,CANNED,WITH SALT",8.09,1.1,0.28,34,2.900000095,3.299999952,26,1.39,4.2,1.06,241,0
"PUMPKIN,FLOWERS,CKD,BLD,DRND,W/SALT",3.18,1.09,0.08,15,0.899999976,2.400000095,37,0.88,5.0,0.04,242,0
"PUMPKIN LEAVES,CKD,BLD,DRND,W/ SALT",3.39,2.72,0.22,21,2.700000048,0.689999998,43,3.2,1.0,0.96,244,0
"PURSLANE,CKD,BLD,DRND,W/SALT",3.55,1.49,0.19,18,0.0,0.0,78,0.77,10.5,0.0,280,0
"RADISHES,ORIENTAL,CKD,BLD,DRND,W/SALT",3.43,0.67,0.24,17,1.600000024,1.830000043,17,0.15,15.1,0.0,249,0
"RUTABAGAS,CKD,BLD,DRND,W/SALT",8.74,1.29,0.22,39,0.0,6.019999981,48,0.53,18.8,0.32,254,0
"SALSIFY,CKD,BLD,DRND,W/SALT",15.36,2.73,0.17,68,3.099999905,2.900000095,47,0.55,4.6,0.19,252,0
"SOYBEANS,GRN,CKD,BLD,DRND,W/SALT",11.05,12.35,6.4,141,4.199999809,0.0,145,2.5,17.0,0.0,250,0
"SPINACH,CKD,BLD,DRND,W/SALT",3.75,2.97,0.26,23,2.400000095,0.430000007,136,3.57,9.8,2.08,306,0
"SPINACH,CND,NO SALT,SOL&LIQUIDS",2.92,2.11,0.37,19,2.200000048,0.0,83,1.58,13.5,0.0,75,0
"SPINACH,FRZ,CHOPD OR LEAF,CKD,BLD,DRND,W/SALT",4.8,4.01,0.87,34,3.700000048,0.50999999,153,1.96,2.2,3.54,322,0
"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,W/SALT",4.31,0.91,0.31,20,1.399999976,2.589999914,27,0.36,5.5,0.14,237,0
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,CKD,BLD,DRND,W/SALT",4.31,0.91,0.31,20,1.399999976,1.889999986,22,0.37,5.5,0.12,0,0
"SQUASH,SMMR,CROOKNECK&STRAIGHTNECK,FRZ,CKD,BLD,DRND,W/SALT",5.54,1.28,0.2,25,1.399999976,2.329999924,20,0.52,6.8,0.15,242,0
"SQUASH,SMMR,SCALLOP,CKD,BLD,DRND,W/SALT",3.3,1.03,0.17,16,1.899999976,1.5,15,0.33,10.8,0.12,237,0
"SQUASH,SMMR,ZUCCHINI,INCL SKN,CKD,BLD,DRND,W/SALT",3.93,0.64,0.05,16,1.399999976,1.690000057,13,0.35,4.6,0.12,239,0
"SQUASH,SMMR,ZUCCHINI,INCL SKN,FRZ,CKD,BLD,DRND,W/SALT",2.97,1.15,0.13,14,1.299999952,1.690000057,17,0.48,3.7,0.12,238,0
"SQUASH,WNTR,ALL VAR,CKD,BKD,W/SALT",8.74,0.89,0.63,39,2.799999952,3.299999952,14,0.33,9.6,0.12,237,0
"SQUASH,WNTR,ACORN,CKD,BKD,W/SALT",14.58,1.12,0.14,56,4.400000095,0.0,44,0.93,10.8,0.0,240,0
"SQUASH,WNTR,ACORN,CKD,BLD,MSHD,W/SALT",8.79,0.67,0.08,34,2.599999905,0.0,26,0.56,6.5,0.0,239,0
"SQUASH,WNTR,BUTTERNUT,CKD,BKD,W/SALT",10.49,0.9,0.09,40,0.0,1.970000029,41,0.6,15.1,1.29,240,0
"SQUASH,WNTR,BUTTERNUT,FRZ,CKD,BLD,W/SALT",10.04,1.23,0.07,39,0.0,0.0,19,0.58,3.5,0.0,238,0
"SQUASH,WNTR,HUBBARD,CKD,BKD,W/SALT",10.81,2.48,0.62,50,0.0,0.0,17,0.47,9.5,0.0,244,0
"SQUASH,WNTR,HUBBARD,CKD,BLD,MSHD,W/SALT",6.46,1.48,0.37,30,2.900000095,2.930000067,10,0.28,6.5,0.12,241,0
"SQUASH,WNTR,SPAGHETTI,CKD,BLD,DRND,OR BKD,W/SALT",6.46,0.66,0.26,27,1.399999976,2.529999971,21,0.34,3.5,0.12,254,0
"SUCCOTASH,(CORN&LIMAS),CKD,BLD,DRND,W/SALT",24.37,5.07,0.8,111,0.0,0.0,17,1.52,8.2,0.0,253,0
"SUCCOTASH,(CORN&LIMAS),FRZ,CKD,BLD,DRND,W/SALT",19.95,4.31,0.89,93,4.099999905,2.210000038,15,0.89,5.9,0.18,281,0
"SWAMP CABBAGE,CKD,BLD,DRND,W/SALT",3.71,2.08,0.24,20,1.899999976,0.0,54,1.32,16.0,0.0,358,0
"SWEET POTATO LEAVES,CKD,STMD,W/ SALT",7.32,2.32,0.3,34,1.899999976,5.420000076,24,0.6,1.5,0.96,249,0
"SWEET POTATO,CKD,BKD IN SKN,W/ SALT",20.71,2.01,0.15,92,3.299999952,11.09000015,38,0.69,19.6,0.71,246,0
"SWEET POTATO,CKD,BLD,WO/ SKN,W/ SALT",17.72,1.37,0.14,76,2.5,5.739999771,27,0.72,12.8,0.94,27,0
"SWEET POTATO,FRZ,CKD,BKD,W/ SALT",23.4,1.71,0.12,100,1.799999952,0.0,35,0.54,9.1,0.0,244,0
"TARO,COOKED,WITH SALT",34.6,0.52,0.11,142,5.099999905,0.49000001,18,0.72,5.0,2.93,251,0
"TARO,LEAVES,CKD,STMD,W/SALT",3.89,2.72,0.41,24,2.0,0.0,86,1.18,35.5,0.0,238,0
"TARO,SHOOTS,CKD,W/SALT",3.19,0.73,0.08,14,0.0,0.0,14,0.41,18.9,0.0,238,0
"TARO,TAHITIAN,CKD,W/SALT",6.85,4.16,0.68,44,0.0,0.0,149,1.56,38.0,0.0,290,0
"TOMATOES,RED,RIPE,CKD,W/ SALT",4.01,0.95,0.11,18,0.699999988,2.49000001,11,0.68,22.8,0.56,247,0
"TOMATOES,RED,RIPE,CND,PACKED IN TOMATO JUC,NO SALT ADDED",4.0,0.78,0.13,17,1.0,2.380000114,31,0.97,9.3,0.68,10,0
"TOMATO JUC,CND,WO/SALT",4.24,0.76,0.05,17,0.400000006,3.559999943,10,0.43,18.3,0.32,10,0
"TOMATO PRODUCTS,CND,PASTE,W/SALT",18.91,4.32,0.47,82,4.099999905,12.18000031,36,2.98,21.9,4.3,790,0
"TOMATO PRODUCTS,CND,PUREE,W/SALT",8.98,1.65,0.21,38,1.899999976,4.829999924,18,1.78,10.6,1.97,399,0
"TURNIPS,CKD,BLD,DRND,W/SALT",5.06,0.71,0.08,22,2.0,2.99000001,22,0.22,11.6,0.02,286,0
"TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",3.76,1.53,0.24,21,2.0,1.75999999,32,0.98,3.9,0.02,272,0
"TURNIP GRNS,CKD,BLD,DRND,W/SALT",4.36,1.14,0.23,20,3.5,0.529999971,137,0.8,27.4,1.88,265,0
"TURNIP GRNS,FRZ,CKD,BLD,DRND,W/SALT",4.98,3.35,0.42,29,3.400000095,0.75,152,1.94,21.8,2.66,251,0
"TURNIP GRNS&TURNIPS,FRZ,CKD,BLD,DRND,W/SALT",4.74,2.99,0.38,34,3.099999905,0.949999988,128,1.75,18.2,2.13,255,0
"VEGETABLES,MXD,FRZ,CKD,BLD,DRND,W/SALT",13.09,2.86,0.15,60,4.400000095,3.119999886,25,0.82,3.2,0.38,271,0
"WAXGOURD,(CHINESE PRESERVING MELON),CKD,BLD,DRND,W/SALT",2.45,0.4,0.2,11,1.0,1.179999948,18,0.38,10.5,0.08,343,0
"WINGED BEAN,IMMAT SEEDS,CKD,BLD,DRND,W/SALT",3.21,5.31,0.66,37,0.0,0.0,61,1.09,9.8,0.0,240,0
"YAM,CKD,BLD,DRND,OR BKD,W/SALT",26.99,1.49,0.14,114,3.900000095,0.49000001,14,0.52,12.1,0.34,244,0
"YAMBEAN (JICAMA),CKD,BLD,DRND,W/SALT",8.23,0.72,0.09,36,0.0,0.0,11,0.57,14.1,0.0,242,0
"YARDLONG BEAN,CKD,BLD,DRND,W/SALT",9.17,2.53,0.1,47,0.0,0.0,44,0.98,16.2,0.0,240,0
"CORN,SWEET,WHITE,RAW",19.02,3.22,1.18,86,2.700000048,3.220000029,2,0.52,6.8,0.07,15,0
