Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Kilocalories,Data.Fiber,Data.Sugar Total,Data.Major Minerals.Calcium,Data.Major Minerals.Iron,Data.Vitamins.Vitamin C,Data.Vitamins.Vitamin E,Data.Major Minerals.Sodium,Data.Cholesterol,Cluster,Description
16.07,0.98,22.3,264.0,0.0,16.06999969,5,0.02,0.0,0.85,62.0,0.0,3,"DESSERT TOPPING,PRESSURIZED"
23.05,1.25,25.31,318.0,0.0,23.04999924,6,0.12,0.0,0.96,25.0,0.0,3,"DESSERT TOPPING,SEMI SOLID,FRZ"
6.63,2.4,19.52,208.0,0.0,6.630000114,3,0.39,0.0,0.74,102.0,0.0,3,"SOUR CRM,IMITN,CULTURED"
6.16,1.75,3.41,61.0,0.0,6.159999847,33,0.39,0.0,0.28,78.0,0.0,3,"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS"
6.16,1.75,3.41,61.0,0.0,0.0,33,0.39,0.0,0.0,78.0,0.0,3,"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL"
4.52,3.22,3.25,60.0,0.0,5.260000229,113,0.03,0.0,0.06,40.0,10.0,3,"MILK,WHL,3.25% MILKFAT"
4.65,3.28,3.66,64.0,0.0,0.0,119,0.05,1.5,0.0,49.0,14.0,3,"MILK,PRODUCER,FLUID,3.7% MILKFAT"
4.68,3.3,1.97,50.0,0.0,5.059999943,117,0.03,0.2,0.03,41.0,8.0,3,"MILK,RED FAT,FLUID,2%MILKFAT,W/ADDED VIT A"
4.97,3.48,1.92,51.0,0.0,0.0,128,0.05,1.0,0.0,52.0,8.0,3,"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A"
5.49,3.95,1.98,56.0,0.0,5.260000229,143,0.06,1.1,0.04,59.0,8.0,3,"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A"
4.99,3.37,0.97,42.0,0.0,5.199999809,119,0.03,0.0,0.01,44.0,5.0,3,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A"
4.97,3.48,0.97,43.0,0.0,0.0,128,0.05,1.0,0.0,52.0,4.0,3,"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A"
5.52,3.93,1.17,48.0,0.0,0.0,142,0.06,1.2,0.0,58.0,4.0,3,"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A"
4.96,3.37,0.08,34.0,0.0,5.090000153,125,0.03,0.0,0.01,42.0,2.0,3,"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)"
5.02,3.57,0.25,37.0,0.0,5.019999981,129,0.05,1.0,0.0,53.0,2.0,3,"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)"
5.56,3.96,0.25,41.0,0.0,0.0,143,0.06,1.1,0.0,59.0,2.0,3,"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)"
4.79,3.31,0.88,40.0,0.0,4.789999962,116,0.05,1.0,0.05,105.0,4.0,3,"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT"
4.46,3.1,3.46,61.0,0.0,4.460000038,101,0.05,0.9,0.06,3.0,14.0,3,"MILK,LOW SODIUM,FLUID"
38.42,26.32,26.71,496.0,0.0,38.41999817,912,0.47,8.6,0.48,371.0,97.0,0,"MILK,DRY,WHOLE"
51.98,36.12,0.77,362.0,0.0,51.97999954,920,0.32,6.8,0.0,535.0,20.0,1,"MILK,DRY,NONFAT,REG,WO/ VIT A"
52.19,35.1,0.72,358.0,0.0,52.18999863,920,0.31,5.6,0.01,549.0,18.0,1,"MILK,DRY,NONFAT,INST,W/ VIT A"
51.8,35.5,0.2,354.0,0.0,0.0,280,0.32,6.7,0.0,2030.410000000009,2.0,0,"MILK,DRY,NONFAT,CA RED"
49.0,34.3,5.78,387.0,0.0,49.0,920,0.3,5.7,0.1,517.0,69.0,1,"MILK,BUTTERMILK,DRIED"
54.4,7.91,8.7,321.0,0.0,54.40000153,284,0.19,2.6,0.16,127.0,34.0,3,"MILK,CND,COND,SWTND"
10.04,6.81,7.56,134.0,0.0,10.03999996,261,0.19,1.9,0.14,106.0,29.0,3,"MILK,CND,EVAP,WO/ VIT A"
11.35,7.55,0.2,78.0,0.0,11.35000038,290,0.29,1.2,0.0,115.0,4.0,3,"MILK,CND,EVAP,NONFAT"
10.34,3.17,3.39,83.0,0.800000012,9.539999962,112,0.24,0.9,0.06,60.0,12.0,3,"MILK,CHOC,FLUID,COMM,"
12.13,2.99,1.9,76.0,0.699999988,9.550000191,109,0.24,0.0,0.04,66.0,8.0,3,"MILK,CHOC,FLUID,COMM,RED FAT"
10.44,3.24,1.0,63.0,0.5,9.93999958,115,0.24,0.9,0.02,61.0,3.0,3,"MILK,CHOC,FLUID,COMM,LOWFAT"
10.63,3.52,2.33,77.0,1.0,9.670000076,105,0.48,0.2,0.03,44.0,8.0,3,"MILK,CHOC BEV,HOT COCOA,HOMEMADE"
4.45,3.56,4.14,69.0,0.0,4.449999809,134,0.05,1.3,0.07,50.0,11.0,3,"MILK,GOAT,FLUID"
6.89,1.03,4.38,70.0,0.0,6.889999866,32,0.03,5.0,0.08,17.0,14.0,3,"MILK,HUMAN,MATURE,FLUID"
5.18,3.75,6.89,97.0,0.0,0.0,169,0.12,2.3,0.0,52.0,19.0,3,"MILK,INDIAN BUFFALO,FLUID"
5.36,5.98,7.0,108.0,0.0,0.0,193,0.1,4.2,0.0,44.0,27.0,3,"MILK,SHEEP,FLUID"
21.15,3.05,2.7,119.0,0.300000012,20.85000038,132,0.31,0.0,0.05,111.0,11.0,3,"MILK SHAKES,THICK CHOC"
17.75,3.86,3.03,112.0,0.0,17.75,146,0.1,0.0,0.05,95.0,12.0,3,"MILK SHAKES,THICK VANILLA"
5.12,0.76,0.09,24.0,0.0,5.119999886,103,0.08,0.1,0.0,48.0,1.0,3,"WHEY,ACID,FLUID"
73.45,11.73,0.54,339.0,0.0,65.5005000305,920,1.24,0.9,0.0,968.0,3.0,1,"WHEY,ACID,DRIED"
5.14,0.85,0.36,27.0,0.0,5.139999866,47,0.06,0.1,0.0,54.0,2.0,3,"WHEY,SWEET,FLUID"
74.46,12.93,1.07,353.0,0.0,65.5005000305,796,0.88,1.5,0.02,1079.0,6.0,1,"WHEY,SWEET,DRIED"
4.66,3.47,3.25,61.0,0.0,4.659999847,121,0.05,0.5,0.06,46.0,13.0,3,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ"
7.04,5.25,1.55,63.0,0.0,7.039999962,183,0.08,0.8,0.03,70.0,6.0,3,"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ"
7.68,5.73,0.18,56.0,0.0,7.679999828,199,0.09,0.9,0.0,77.0,2.0,3,"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ"
13.8,4.93,1.25,85.0,0.0,13.80000019,171,0.07,0.8,0.02,66.0,5.0,3,"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ"
18.64,3.98,1.15,99.0,0.0,18.63999939,138,0.06,0.6,0.02,53.0,5.0,3,"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ"
19.05,4.37,1.08,102.0,0.0,19.04999924,152,0.07,0.7,0.02,58.0,4.0,3,"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ"
18.6,4.86,1.41,105.0,0.0,0.0,169,0.07,0.7,0.0,65.0,6.0,3,"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ"
0.77,12.58,9.94,143.0,0.0,0.769999981,53,1.83,0.0,0.97,140.0,357.02000000000044,0,"EGG,WHOLE,RAW,FRESH"
0.73,10.9,0.17,48.0,0.0,0.709999979,7,0.08,0.0,0.0,166.0,0.0,3,"EGG,WHITE,RAW,FRESH"
3.59,15.86,26.54,317.0,0.0,0.560000002,129,2.73,0.0,2.58,48.0,357.02000000000044,0,"EGG,YOLK,RAW,FRSH"
1.15,15.5,25.6,303.0,0.0,0.50999999,138,3.34,0.0,2.49,67.0,357.02000000000044,0,"EGG,YOLK,RAW,FROZEN"
10.8,13.8,22.75,307.0,0.0,0.0,123,3.14,0.0,0.0,67.0,357.02000000000044,0,"EGG,YOLK,RAW,FRZ,SUGARED"
0.88,13.63,15.31,196.0,0.0,0.829999983,59,1.98,0.0,1.22,204.0,357.02000000000044,0,"EGG,WHL,CKD,FRIED"
1.12,12.58,10.61,155.0,0.0,1.120000005,50,1.19,0.0,1.03,124.0,357.02000000000044,0,"EGG,WHL,CKD,HARD-BOILED"
0.68,10.59,12.03,157.0,0.0,0.649999976,47,1.55,0.0,1.22,161.0,356.0,0,"EGG,WHOLE,COOKED,OMELET"
0.76,12.53,9.9,142.0,0.0,0.769999981,53,1.83,0.0,0.96,294.0,357.02000000000044,0,"EGG,WHL,CKD,POACHED"
